"","From","Trough","To","Depth","Length","To Trough","Recovery"
"1",2008-02-06,2008-10-10,2009-07-21,-0.2264,367,173,194
"2",2003-06-16,2003-08-13,2004-03-05,-0.0877,183,42,141
"3",2013-05-03,2013-06-24,2014-05-01,-0.0862,251,36,215
"4",2004-03-18,2004-05-13,2004-09-20,-0.077,128,40,88
"5",2015-02-03,2015-06-26,2016-04-05,-0.0612,295,101,194
"6",2016-08-30,2016-12-16,2017-06-14,-0.059,199,77,122
"7",2010-11-05,2010-12-15,2011-05-05,-0.0526,125,28,97
"8",2005-09-01,2006-06-28,2006-09-20,-0.0491,265,207,58
"9",2011-11-07,2011-11-29,2012-01-17,-0.0467,48,16,32
"10",2002-09-30,2002-10-21,2002-11-07,-0.0436,29,16,13
